Date,Open,High,Low,Close,Volume,Adj Close
2014-08-25,2222.6499,2222.68994,2205.79004,2210.48999,000,2210.48999
2014-08-22,2215.61011,2218.05005,2209.48999,2212.6001,000,2212.6001
2014-08-21,2208.21997,2215.26001,2206.52002,2214.62012,000,2214.62012
2014-08-20,2199.94995,2211.58008,2199.25,2209.04004,000,2209.04004
2014-08-19,2190.51001,2203.37988,2190.44995,2201.87012,000,2201.87012
2014-08-18,2180.59009,2189.76001,2177.71997,2189.76001,000,2189.76001
2014-08-15,2181.8999,2185.25,2155.28003,2174.12988,000,2174.12988
2014-08-14,2162.75,2168.02002,2158.8999,2167.86011,000,2167.86011
2014-08-13,2146.82007,2160.01001,2145.56006,2159.94995,000,2159.94995
2014-08-12,2139.15991,2145.41992,2125.21997,2137.92993,000,2137.92993
2014-08-11,2136.34009,2151.30005,2136.11011,2143.83008,000,2143.83008
2014-08-08,2116.05005,2131.63989,2109.38989,2130.01001,000,2130.01001
2014-08-07,2134.63989,2137.86011,2102.6001,2109.31006,000,2109.31006
2014-08-06,2110.17993,2134.94995,2105.22998,2123.36011,000,2123.36011
2014-08-05,2134.72998,2145.61011,2118.75,2126.93994,000,2126.93994
2014-08-04,2130.62988,2149.92993,2120.72998,2143.71997,000,2143.71997
2014-08-01,2136.20996,2147.87012,2115.86011,2128.55005,000,2128.55005
2014-07-31,2156.70996,2167.91992,2136.09009,2137.27002,000,2137.27002
2014-07-30,2183.07007,2186.03003,2170.16992,2179.46997,000,2179.46997
2014-07-29,2178.08008,2185.33008,2167.84009,2168.93994,000,2168.93994
2014-07-28,2175.07007,2181.00,2155.75,2175.84009,000,2175.84009
2014-07-25,2175.47998,2179.18994,2165.01001,2174.28003,000,2174.28003
2014-07-24,2184.37988,2187.65991,2179.30005,2185.03003,000,2185.03003
2014-07-23,2181.94995,2183.01001,2170.03003,2172.79004,000,2172.79004
2014-07-22,2185.11011,2196.96997,2183.68994,2190.88989,000,2190.88989
2014-07-21,2171.98999,2180.08008,2165.29004,2176.02002,000,2176.02002
2014-07-18,2158.71997,2176.81006,2155.91992,2176.3999,000,2176.3999
2014-07-17,2169.94995,2176.6499,2145.37012,2150.08008,000,2150.08008
2014-07-16,2184.73999,2192.27002,2179.41992,2185.00,000,2185.00
2014-07-15,2175.97998,2183.56006,2157.41992,2173.04004,000,2173.04004
2014-07-14,2176.66992,2182.55005,2171.34009,2174.79004,000,2174.79004
2014-07-11,2160.28003,2165.37988,2152.86011,2164.08008,000,2164.08008
2014-07-10,2134.58008,2165.25,2130.59009,2156.67993,000,2156.67993
2014-07-09,2159.6499,2166.04004,2149.42993,2164.87012,000,2164.87012
2014-07-08,2176.88989,2178.79004,2139.78003,2154.25,000,2154.25
2014-07-07,2190.92993,2191.07007,2177.47998,2180.15991,000,2180.15991
2014-07-03,2184.71997,2193.75,2183.23999,2193.29004,000,2193.29004
2014-07-02,2175.86011,2182.30005,2174.20996,2178.29004,000,2178.29004
2014-07-01,2159.05005,2184.20996,2158.91992,2177.77002,000,2177.77002
2014-06-30,2146.78003,2156.23999,2143.51001,2153.07007,000,2153.07007
2014-06-27,2130.52002,2142.27002,2128.94995,2141.68994,000,2141.68994
2014-06-26,2139.96997,2140.83008,2121.27002,2134.04004,000,2134.04004
2014-06-25,2126.18994,2142.55005,2125.22998,2140.37988,000,2140.37988
2014-06-24,2135.42993,2153.70996,2126.16992,2130.28003,000,2130.28003
2014-06-23,2137.75,2139.96997,2130.94995,2137.50,000,2137.50
2014-06-20,2137.58008,2139.08008,2129.1499,2138.32007,000,2138.32007
2014-06-19,2144.00,2144.63989,2126.01001,2137.13989,000,2137.13989
2014-06-18,2137.80005,2144.75,2121.26001,2143.22998,000,2143.22998
2014-06-17,2119.90991,2136.78003,2119.71997,2132.88989,000,2132.88989
2014-06-16,2111.01001,2126.61011,2110.59009,2123.3501,000,2123.3501
2014-06-13,2116.17993,2119.87988,2105.43994,2117.23999,000,2117.23999
2014-06-12,2106.15991,2115.05005,2095.16992,2101.79004,000,2101.79004
2014-06-11,2106.33008,2116.80005,2102.17993,2113.09009,000,2113.09009
2014-06-10,2101.33008,2110.32007,2099.31006,2109.42993,000,2109.42993
2014-06-09,2105.38989,2113.62012,2100.44995,2106.36011,000,2106.36011
2014-06-06,2095.3501,2106.06006,2092.93994,2103.18994,000,2103.18994
2014-06-05,2069.76001,2089.01001,2064.32007,2086.70996,000,2086.70996
2014-06-04,2055.6499,2070.94995,2053.41992,2067.70996,000,2067.70996
2014-06-03,2055.48999,2067.1499,2053.29004,2062.79004,000,2062.79004
2014-06-02,2065.71997,2067.00,2046.06006,2063.90991,000,2063.90991
2014-05-30,2062.66992,2062.66992,2048.76001,2057.62988,000,2057.62988
2014-05-29,2055.54004,2062.27002,2052.36011,2060.77002,000,2060.77002
2014-05-28,2056.46997,2057.92993,2047.22998,2051.58008,000,2051.58008
2014-05-27,2040.53003,2056.98999,2039.23999,2056.98999,000,2056.98999
2014-05-23,2016.32996,2033.73999,2012.34998,2033.28003,000,2033.28003
2014-05-22,2004.80005,2019.19995,2003.43994,2014.20996,000,2014.20996
2014-05-21,1991.50,2005.32996,1991.04004,2003.56995,000,2003.56995
2014-05-20,1996.91003,2004.19995,1979.18994,1987.77002,000,1987.77002
2014-05-19,1976.21997,2001.44995,1974.72998,1999.22998,000,1999.22998
2014-05-16,1969.20996,1981.64001,1959.17004,1978.70996,000,1978.70996
2014-05-15,1979.81995,1980.34998,1947.55005,1964.40002,000,1964.40002
2014-05-14,1981.04004,1989.53003,1974.42004,1976.81006,000,1976.81006
2014-05-13,1994.02002,1999.25,1983.29004,1984.56995,000,1984.56995
2014-05-12,1964.57996,1994.23999,1964.18005,1992.08997,000,1992.08997
2014-05-09,1951.43994,1956.82996,1936.05005,1955.47998,000,1955.47998
2014-05-08,1941.56006,1977.96997,1935.95996,1952.15002,000,1952.15002
2014-05-07,1956.56006,1959.38,1928.48999,1945.68005,000,1945.68005
2014-05-06,1976.48999,1980.95996,1958.64001,1959.03003,000,1959.03003
2014-05-05,1963.31995,1979.51001,1955.91003,1976.68005,000,1976.68005
2014-05-02,1979.23999,1987.51001,1970.28003,1974.55005,000,1974.55005
2014-05-01,1976.78003,1992.09998,1966.51001,1973.90002,000,1973.90002
2014-04-30,1955.59998,1970.07996,1951.98999,1970.07996,000,1970.07996
2014-04-29,1947.65002,1961.05005,1937.94995,1958.85999,000,1958.85999
2014-04-28,1962.08997,1966.26001,1912.40002,1940.97998,000,1940.97998
2014-04-25,1985.16003,1986.23999,1947.16003,1951.88,000,1951.88
2014-04-24,2016.38,2018.55005,1981.35999,1997.78003,000,1997.78003
2014-04-23,2004.94995,2005.92004,1991.50,1995.19995,000,1995.19995
2014-04-22,1995.44995,2012.93005,1995.14001,2007.02002,000,2007.02002
2014-04-21,1988.84998,1995.43005,1974.19995,1994.71997,000,1994.71997
2014-04-17,1970.01001,1989.78003,1961.56006,1980.92004,000,1980.92004
2014-04-16,1966.00,1967.37,1938.76001,1966.68005,000,1966.68005
2014-04-15,1946.18005,1959.59998,1915.78003,1955.56006,000,1955.56006
2014-04-14,1938.01001,1950.13,1922.38,1939.73999,000,1939.73999
2014-04-11,1924.14001,1946.88,1910.27002,1916.00,000,1916.00
2014-04-10,2007.68005,2008.67004,1940.94995,1943.78003,000,1943.78003
2014-04-09,1992.48999,2009.94995,1981.23999,2009.04004,000,2009.04004
2014-04-08,1959.40002,1985.95996,1958.47998,1983.28003,000,1983.28003
2014-04-07,1970.01001,1986.29004,1943.90002,1956.66003,000,1956.66003
2014-04-04,2047.31006,2048.82007,1975.04004,1979.50,000,1979.50
2014-04-03,2051.87012,2060.54004,2024.52002,2033.35999,000,2033.35999
2014-04-02,2054.21997,2055.34009,2039.97998,2047.98999,000,2047.98999
2014-04-01,2025.00,2049.86011,2023.15002,2049.67993,000,2049.67993
2014-03-31,2005.35999,2022.98999,2005.35999,2015.94995,000,2015.94995
2014-03-28,1991.25,2014.01001,1988.20996,1994.07996,000,1994.07996
2014-03-27,1990.01001,2000.46997,1975.91003,1983.81006,000,1983.81006
2014-03-26,2032.31006,2041.17004,1992.65002,1992.67004,000,1992.67004
2014-03-25,2020.75,2035.95996,2005.47998,2018.95996,000,2018.95996
2014-03-24,2029.10999,2034.27002,1990.72998,2008.89001,000,2008.89001
2014-03-21,2050.08008,2052.45996,2021.15002,2024.66003,000,2024.66003
2014-03-20,2019.84998,2049.17993,2018.46997,2046.15002,000,2046.15002
2014-03-19,2030.32996,2036.41003,2011.79004,2024.08997,000,2024.08997
2014-03-18,2007.45996,2033.16003,2005.79004,2031.65002,000,2031.65002
2014-03-17,1994.80005,2013.93994,1994.80005,2007.64001,000,2007.64001
2014-03-14,1986.87,1996.76001,1980.57996,1981.88,000,1981.88
2014-03-13,2032.01001,2034.81995,1978.71997,1988.44995,000,1988.44995
2014-03-12,2010.66003,2027.63,1998.44995,2027.63,000,2027.63
